"ID","iso_code","洲名","國家",date,all,"新增確診數","七天移動平均新增確診數","總確診數/每百萬人","新增確診數/每百萬人","七天移動平均新增確診數/每百萬人","總人口數","新聞稿發佈新增確診數"
"1","TWN","亞洲","台灣","2022-06-14","3003501","66,138","66,090.00","125,906.52","2,772.50","2,770.49","23,855,008","66189"
"2","TWN","亞洲","台灣","2022-06-13","2937363","45,100","68,497.43","123,134.02","1,890.59","2,871.41","23,855,008","45110"
"3","TWN","亞洲","台灣","2022-06-12","2892263","50,567","69,627.43","121,243.43","2,119.77","2,918.78","23,855,008","50657"
"4","TWN","亞洲","台灣","2022-06-11","2841696","79,616","71,271.71","119,123.67","3,337.50","2,987.70","23,855,008","79663"
"5","TWN","亞洲","台灣","2022-06-10","2762080","68,293","69,630.57","115,786.17","2,862.84","2,918.91","23,855,008","68347"
"6","TWN","亞洲","台灣","2022-06-09","2693787","72,846","70,803.71","112,923.33","3,053.70","2,968.09","23,855,008","72967"
"7","TWN","亞洲","台灣","2022-06-08","2620941","80,070","71,387.14","109,869.63","3,356.53","2,992.54","23,855,008","80223"
"8","TWN","亞洲","台灣","2022-06-07","2540871","82,990","72,555.43","106,513.11","3,478.93","3,041.52","23,855,008","83027"
"9","TWN","亞洲","台灣","2022-06-06","2457881","53,010","72,218.00","103,034.17","2,222.18","3,027.37","23,855,008","53023"
"10","TWN","亞洲","台灣","2022-06-05","2404871","62,077","73,228.43","100,812.00","2,602.26","3,069.73","23,855,008","62110"
"11","TWN","亞洲","台灣","2022-06-04","2342794","68,128","75,298.71","98,209.73","2,855.92","3,156.52","23,855,008","68151"
"12","TWN","亞洲","台灣","2022-06-03","2274666","76,505","77,085.57","95,353.81","3,207.08","3,231.42","23,855,008","76564"
"13","TWN","亞洲","台灣","2022-06-02","2198161","76,930","79,698.57","92,146.73","3,224.90","3,340.96","23,855,008","76986"
"14","TWN","亞洲","台灣","2022-06-01","2121231","88,248","80,407.29","88,921.83","3,699.35","3,370.67","23,855,008","88293"
"15","TWN","亞洲","台灣","2022-05-31","2032983","80,628","80,566.29","85,222.48","3,379.92","3,377.33","23,855,008","80705"
"16","TWN","亞洲","台灣","2022-05-30","1952355","60,083","80,816.43","81,842.56","2,518.67","3,387.82","23,855,008","60103"
"1","TWN","亞洲","台灣","2022-05-29","1892272","76,569","81,700.14","79,323.89","3,209.77","3,424.86","23,855,008","76605"
"2","TWN","亞洲","台灣","2022-05-28","1815703","80,636","82,115.14","76,114.12","3,380.26","3,442.26","23,855,008","80881"
"3","TWN","亞洲","台灣","2022-05-27","1735067","94,796","82,682.29","72,733.87","3,973.84","3,466.04","23,855,008","94855"
"4","TWN","亞洲","台灣","2022-05-26","1640271","81,891","81,387.14","68,760.03","3,432.86","3,411.74","23,855,008","81907"
"5","TWN","亞洲","台灣","2022-05-25","1558380","89,361","82,462.71","65,327.16","3,746.01","3,456.83","23,855,008","89389"
"1","TWN","亞洲","台灣","2022-05-24","1469019","82,379","81,851.43","61,581.16","3,453.32","3,431.21","23,855,008","82435"
"2","TWN","亞洲","台灣","2022-05-23","1386640","66,269","79,483.29","58,127.84","2,777.99","3,331.93","23,855,008","66283"
"3","TWN","亞洲","台灣","2022-05-22","1320371","79,474","78,832.57","55,349.85","3,331.54","3,304.66","23,855,008","79487"
"4","TWN","亞洲","台灣","2022-05-21","1240897","84,606","77,296.14","52,018.30","3,546.68","3,240.25","23,855,008","84639"
"5","TWN","亞洲","台灣","2022-05-20","1156291","85,730","74,345.86","48,471.63","3,593.80","3,116.57","23,855,008","85761"
"1","TWN","亞洲","台灣","2022-05-19","1070561","89,420","71,384.43","44,877.83","3,748.48","2,992.43","23,855,008","90378"
"2","TWN","亞洲","台灣","2022-05-18","981141","85,082","67,955.14","41,129.35","3,566.63","2,848.67","23,855,008","85356"
"3","TWN","亞洲","台灣","2022-05-17","896059","65,802","63,962.29","37,562.72","2,758.42","2,681.29","23,855,008","65833"
"4","TWN","亞洲","台灣","2022-05-16","830257","61,714","61,821.86","34,804.31","2,587.05","2,591.57","23,855,008","61754"
"5","TWN","亞洲","台灣","2022-05-15","768543","68,719","58,753.14","32,217.26","2,880.70","2,462.93","23,855,008","68769"
"6","TWN","亞洲","台灣","2022-05-14","699824","63,954","54,977.29","29,336.57","2,680.95","2,304.64","23,855,008","64041"
"7","TWN","亞洲","台灣","2022-05-13","635870","65,000","52,471.57","26,655.62","2,724.80","2,199.60","23,855,008","65011"
"8","TWN","亞洲","台灣","2022-05-12","570870","65,415","48,352.57","23,930.82","2,742.19","2,026.94","23,855,008","65446"
"9","TWN","亞洲","台灣","2022-05-11","505455","57,132","43,291.00","21,188.63","2,394.97","1,814.76","23,855,008","57216"
"10","TWN","亞洲","台灣","2022-05-10","448323","50,819","39,197.29","18,793.66","2,130.33","1,643.15","23,855,008","50828"
"11","TWN","亞洲","台灣","2022-05-09","397504","40,233","35,242.29","16,663.34","1,686.56","1,477.35","23,855,008","40304"
"12","TWN","亞洲","台灣","2022-05-08","357271","42,288","32,045.14","14,976.77","1,772.71","1,343.33","23,855,008","44361"
"13","TWN","亞洲","台灣","2022-05-07","314983","46,414","28,442.86","13,204.06","1,945.67","1,192.32","23,855,008","46536"
"14","TWN","亞洲","台灣","2022-05-06","268569","36,167","23,973.71","11,258.39","1,516.12","1,004.98","23,855,008","36213"
"15","TWN","亞洲","台灣","2022-05-05","232402","29,984","20,565.14","9,742.27","1,256.93","862.09","23,855,008","30106"
"16","TWN","亞洲","台灣","2022-05-04","202418","28,476","17,925.71","8,485.35","1,193.71","751.44","23,855,008","28487"
"17","TWN","亞洲","台灣","2022-05-03","173942","23,134","15,131.43","7,291.64","969.78","634.31","23,855,008","23139"
"18","TWN","亞洲","台灣","2022-05-02","150808","17,853","12,731.71","6,321.86","748.40","533.71","23,855,008","17858"
"19","TWN","亞洲","台灣","2022-05-01","132955","17,072","10,926.71","5,573.46","715.66","458.05","23,855,008","17085"
"20","TWN","亞洲","台灣","2022-04-30","115883","15,130","9,226.43","4,857.81","634.25","386.77","23,855,008","15149"
"21","TWN","亞洲","台灣","2022-04-29","100753","12,307","7,664.71","4,223.56","515.91","321.30","23,855,008","12313"
"22","TWN","亞洲","台灣","2022-04-28","88446","11,508","6,457.57","3,707.65","482.41","270.70","23,855,008","11517"
"23","TWN","亞洲","台灣","2022-04-27","76938","8,916","5,250.29","3,225.24","373.76","220.09","23,855,008","8923"
"24","TWN","亞洲","台灣","2022-04-26","68022","6,336","4,330.29","2,851.48","265.61","181.53","23,855,008","6339"
"25","TWN","亞洲","台灣","2022-04-25","61686","5,218","3,671.86","2,585.87","218.74","153.92","23,855,008","5221"
"26","TWN","亞洲","台灣","2022-04-24","56468","5,170","3,137.29","2,367.13","216.73","131.52","23,855,008","5172"
"27","TWN","亞洲","台灣","2022-04-23","51298","4,198","2,584.71","2,150.41","175.98","108.35","23,855,008","4204"
"28","TWN","亞洲","台灣","2022-04-22","47100","3,857","2,177.57","1,974.43","161.69","91.28","23,855,008","3859"
"29","TWN","亞洲","台灣","2022-04-21","43243","3,057","1,809.86","1,812.74","128.15","75.87","23,855,008","3058"
"30","TWN","亞洲","台灣","2022-04-20","40186","2,476","1,513.29","1,684.59","103.79","63.44","23,855,008","2481"
"31","TWN","亞洲","台灣","2022-04-19","37710","1,727","1,292.00","1,580.80","72.40","54.16","23,855,008","1727"

